"skuName","unitOfMeasure","type","retailPrice","unitPrice","currencyCode","location","effectiveStartDate","meterId","meterName","skuId","productName","serviceFamily"
"300 GB Commitment Tier","1/Day","Consumption","1312.7266","1312.7266","EUR","AE Central","07/01/2023 00:00:00","8703cccd-852f-51b5-84fd-6ce7c2d32115","300 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02X7","Sentinel","Management and Governance"
"400 GB Commitment Tier","1/Day","Consumption","1702.1656","1702.1656","EUR","AE Central","07/01/2023 00:00:00","e8db07ab-4bea-531c-87cf-53adeb23c2cb","400 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02WD","Sentinel","Management and Governance"
"400 GB Commitment Tier","1/Day","Consumption","1784.21","1784.21","USD","AE Central","07/01/2023 00:00:00","e8db07ab-4bea-531c-87cf-53adeb23c2cb","400 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02WD","Sentinel","Management and Governance"
"400 GB Commitment Tier","1/Day","Consumption","1420.0406","1420.0406","GBP","AE Central","07/01/2023 00:00:00","e8db07ab-4bea-531c-87cf-53adeb23c2cb","400 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02WD","Sentinel","Management and Governance"
"500 GB Commitment Tier","1/Day","Consumption","2175.8","2175.8","USD","AE Central","07/01/2023 00:00:00","57d0080b-4f43-58d2-be3b-75e003265808","500 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02WB","Sentinel","Management and Governance"
"500 GB Commitment Tier","1/Day","Consumption","2075.7489","2075.7489","EUR","AE Central","07/01/2023 00:00:00","57d0080b-4f43-58d2-be3b-75e003265808","500 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02WB","Sentinel","Management and Governance"
"500 GB Commitment Tier","1/Day","Consumption","1731.7044","1731.7044","GBP","AE Central","07/01/2023 00:00:00","57d0080b-4f43-58d2-be3b-75e003265808","500 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02WB","Sentinel","Management and Governance"
"5000 GB Commitment Tier","1/Day","Consumption","19866","19866","USD","AE Central","07/01/2023 00:00:00","b108e08d-27f3-533f-88d6-b75f18f80003","5000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02W2","Sentinel","Management and Governance"
"5000 GB Commitment Tier","1/Day","Consumption","18952.49","18952.49","EUR","AE Central","07/01/2023 00:00:00","b108e08d-27f3-533f-88d6-b75f18f80003","5000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02W2","Sentinel","Management and Governance"
"5000 GB Commitment Tier","1/Day","Consumption","15811.2141","15811.2141","GBP","AE Central","07/01/2023 00:00:00","b108e08d-27f3-533f-88d6-b75f18f80003","5000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02W2","Sentinel","Management and Governance"
