"skuName","unitOfMeasure","type","retailPrice","unitPrice","currencyCode","location","effectiveStartDate","meterId","meterName","skuId","productName","serviceFamily"
"200 GB Commitment Tier","1/Day","Consumption","570.1721","570.1721","GBP","UK West","07/01/2023 00:00:00","9331071f-749d-51e3-ae34-f3767567f72c","200 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02PM","Sentinel","Management and Governance"
"2000 GB Commitment Tier","1/Day","Consumption","4992.6574","4992.6574","GBP","UK West","07/01/2023 00:00:00","01f2c508-b940-5dfa-8164-a7040d7eb238","2000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02PW","Sentinel","Management and Governance"
"25000 GB Commitment Tier","1/Day","Consumption","55759.74","55759.74","GBP","UK West","09/01/2023 00:00:00","91f02653-4465-5fb0-9471-104f54ec8fa8","25000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03GX","Sentinel","Management and Governance"
"300 GB Commitment Tier","1/Day","Consumption","832.3236","832.3236","GBP","UK West","07/01/2023 00:00:00","f2ccc332-1635-5bc1-830c-b906b8b0798d","300 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02PS","Sentinel","Management and Governance"
"400 GB Commitment Tier","1/Day","Consumption","1079.1799","1079.1799","GBP","UK West","07/01/2023 00:00:00","78bbcd25-bcde-5e53-ae6a-19e6767da453","400 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02PL","Sentinel","Management and Governance"
"500 GB Commitment Tier","1/Day","Consumption","1315.9331","1315.9331","GBP","UK West","07/01/2023 00:00:00","8d013a9e-52c1-56eb-9de1-54717169786d","500 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02PT","Sentinel","Management and Governance"
"5000 GB Commitment Tier","1/Day","Consumption","12012.5988","12012.5988","GBP","UK West","07/01/2023 00:00:00","c1e050cb-6976-5256-8653-a58de4fae5b2","5000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/02PK","Sentinel","Management and Governance"
"50000 GB Commitment Tier","1/Day","Consumption","107033.6637","107033.6637","GBP","UK West","09/01/2023 00:00:00","2a72c113-fbc4-5899-ad6e-1f0081e5b6d6","50000 GB Commitment Tier Capacity Reservation","DZH318Z0CF6H/03GW","Sentinel","Management and Governance"
"Basic Logs","1 GB","Consumption","0.9309","0.9309","GBP","UK West","07/01/2023 00:00:00","59aec135-ceb5-59c8-b8f1-5fe68c5322ef","Basic Logs Analysis","DZH318Z0CF6H/02PJ","Sentinel","Management and Governance"
"Free Benefit - M365 Defender","1 GB","Consumption","0","0","GBP","UK West","09/01/2021 00:00:00","21fb3b1c-e614-517e-ad0f-00997b8543e5","Free Benefit - M365 Defender Analysis","DZH318Z0CF6H/01V1","Sentinel","Management and Governance"
"Free Trial","1 GB","Consumption","0","0","GBP","UK West","11/01/2019 00:00:00","7c409e34-3ad9-4cf0-8860-9697d6a2ea3e","Free Trial Analysis","DZH318Z0CF6H/0093","Sentinel","Management and Governance"
"Pay-as-you-go","1 GB","Consumption","4.4136","4.4136","GBP","UK West","07/01/2023 00:00:00","c750136f-c057-597f-a0c1-1ccae83e5647","Pay-as-you-go Analysis","DZH318Z0CF6H/02PH","Sentinel","Management and Governance"
"Solution for SAP Applications","1/Hour","Consumption","1.6049","1.6049","GBP","UK West","01/01/2023 00:00:00","ee16babb-a675-5df4-8d84-481da3156e78","Solution for SAP Applications Hourly","DZH318Z0CF6H/021P","Sentinel","Management and Governance"
